date,hour,temp,humidity,wind_speed,weather,dayofweek
20170203,14,10,71,10.8,1,5
20170203,15,10,76,7.2,1,5
20170203,16,10,76,7.2,1,5
20170203,17,10,76,7.2,1,5
20170203,18,9,82,7.2,2,5
20170203,19,9,82,10.8,2,5
20170203,20,9,87,3.6,2,5
20170203,21,9,87,3.6,2,5
20170203,22,9,87,3.6,2,5
20170203,23,8,100,1.0,2,5
20170204,8,8,100,10.8,1,6
20170204,9,8,100,10.8,1,6
20170204,10,8,100,10.8,1,6
20170204,11,9,93,3.6,1,6
20170204,12,9,93,7.2,1,6
20170204,13,9,93,7.2,1,6
20170204,14,10,87,7.2,1,6
20170204,15,10,82,10.8,1,6
20170204,16,10,82,10.8,1,6
20170204,17,9,87,10.8,1,6
20170204,18,8,93,14.4,1,6
20170204,19,8,93,10.8,1,6
20170204,20,8,93,7.2,1,6
20170204,21,8,93,10.8,1,6
20170204,22,8,93,7.2,1,6
20170204,23,8,93,10.8,4,6
20170205,8,7,81,14.4,1,7
20170205,9,7,81,21.6,1,7
20170205,10,8,71,25.2,1,7
20170205,11,8,71,18.0,1,7
20170205,12,8,76,14.4,1,7
20170205,13,8,71,21.6,1,7
20170205,14,9,66,14.4,5,7
20170205,15,10,62,14.4,5,7
20170205,16,9,66,14.4,5,7
20170205,17,8,71,10.8,5,7
20170205,18,7,71,7.2,5,7
20170205,19,8,71,3.6,5,7
20170205,20,7,76,7.2,4,7
20170205,21,6,81,7.2,4,7
20170205,22,6,81,3.6,4,7
20170205,23,5,81,7.2,4,7
20170206,8,5,81,10.8,4,1
20170206,9,7,71,14.4,5,1
20170206,10,8,62,21.6,5,1
20170206,11,9,58,21.6,5,1
20170206,12,9,50,14.4,1,1
20170206,13,9,46,18.0,1,1
20170206,14,10,40,18.0,1,1
20170206,15,10,43,21.6,1,1
20170206,16,9,46,18.0,1,1
20170206,17,8,50,18.0,1,1
20170206,18,7,57,21.6,1,1
20170206,19,6,61,25.2,1,1
20170206,20,6,61,21.6,1,1
20170206,21,5,61,21.6,1,1
20170206,22,5,61,18.0,1,1
20170206,23,4,70,14.4,1,1
20170207,8,6,61,14.4,1,2
20170207,9,7,57,10.8,1,2
20170207,10,7,57,10.8,1,2
20170207,11,8,53,14.4,1,2
20170207,12,8,57,14.4,1,2
20170207,13,8,57,10.8,1,2
20170207,14,9,50,10.8,1,2
20170207,15,10,50,10.8,1,2
20170207,16,10,50,14.4,1,2
20170207,17,9,54,14.4,1,2
20170207,18,8,62,14.4,1,2
20170207,19,8,62,14.4,1,2
20170207,20,8,62,14.4,1,2
20170207,21,7,66,14.4,1,2
20170207,22,7,66,14.4,1,2
20170207,23,7,66,14.4,1,2
20170208,8,5,93,18.0,2,3
20170208,9,5,93,18.0,2,3
20170208,10,5,87,14.4,2,3
20170208,11,6,87,18.0,2,3
20170208,12,6,81,21.6,2,3
20170208,13,4,93,21.6,2,3
20170208,14,4,93,18.0,1,3
